15,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
16,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
17,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
18,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
19,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
20,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
21,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
22,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
23,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
24,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
25,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
26,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
27,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
28,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
29,100,0.08,0.09,0.12,0.16,0.22,0.10,0.11,0.12,0.13,0.19
30,100,0.08,0.09,0.12,0.17,0.23,0.10,0.11,0.12,0.14,0.20
31,100,0.09,0.10,0.13,0.18,0.25,0.11,0.12,0.13,0.15,0.21
32,100,0.09,0.10,0.13,0.19,0.26,0.11,0.13,0.13,0.16,0.22
33,100,0.10,0.11,0.14,0.19,0.27,0.12,0.13,0.14,0.16,0.23
34,100,0.10,0.11,0.15,0.20,0.28,0.12,0.14,0.15,0.17,0.24
35,100,0.11,0.12,0.16,0.23,0.31,0.14,0.15,0.16,0.19,0.27
36,100,0.12,0.13,0.17,0.24,0.33,0.14,0.16,0.17,0.20,0.28
37,100,0.12,0.14,0.18,0.25,0.34,0.15,0.17,0.18,0.21,0.29
38,100,0.13,0.14,0.19,0.26,0.36,0.16,0.17,0.19,0.22,0.31
39,100,0.14,0.15,0.20,0.27,0.38,0.17,0.18,0.20,0.23,0.32
40,100,0.15,0.17,0.22,0.30,0.42,0.19,0.20,0.22,0.25,0.36
41,100,0.17,0.19,0.25,0.34,0.47,0.21,0.23,0.25,0.28,0.40
42,100,0.19,0.21,0.27,0.38,0.52,0.23,0.25,0.27,0.31,0.44
43,100,0.21,0.23,0.30,0.42,0.58,0.25,0.28,0.30,0.35,0.49
44,100,0.23,0.25,0.33,0.45,0.63,0.28,0.30,0.33,0.38,0.53
45,100,0.24,0.27,0.35,0.48,0.67,0.29,0.32,0.35,0.40,0.57
46,100,0.27,0.29,0.38,0.53,0.74,0.32,0.36,0.38,0.44,0.62
47,100,0.29,0.32,0.42,0.58,0.81,0.35,0.39,0.42,0.48,0.68
48,100,0.32,0.35,0.46,0.64,0.88,0.39,0.43,0.46,0.53,0.75
49,100,0.35,0.38,0.50,0.70,0.96,0.42,0.46,0.50,0.58,0.82
50,100,0.38,0.42,0.55,0.76,1.05,0.46,0.51,0.55,0.63,0.89
51,100,0.41,0.45,0.60,0.83,1.15,0.50,0.55,0.59,0.69,0.97
52,100,0.45,0.49,0.65,0.90,1.25,0.55,0.60,0.65,0.75,1.05
53,100,0.49,0.54,0.71,0.97,1.35,0.59,0.65,0.70,0.81,1.14
54,100,0.53,0.58,0.77,1.06,1.47,0.64,0.71,0.76,0.88,1.24
55,100,0.57,0.63,0.83,1.15,1.59,0.70,0.77,0.82,0.95,1.35
56,100,0.60,0.66,0.87,1.20,1.67,0.73,0.80,0.86,1.00,1.41
57,100,0.63,0.70,0.91,1.26,1.75,0.77,0.84,0.91,1.05,1.48
58,100,0.20,0.22,0.29,0.40,0.56,0.24,0.27,0.29,0.33,0.47
59,100,0.21,0.24,0.31,0.43,0.59,0.26,0.29,0.31,0.36,0.50
60,100,0.23,0.25,0.33,0.46,0.63,0.28,0.31,0.33,0.38,0.54
61,100,0.25,0.27,0.36,0.49,0.68,0.30,0.33,0.36,0.41,0.58
62,100,0.25,0.28,0.37,0.50,0.70,0.31,0.34,0.37,0.42,0.60
63,100,0.21,0.23,0.31,0.42,0.58,0.26,0.28,0.31,0.35,0.50
64,100,0.21,0.23,0.31,0.42,0.58,0.26,0.28,0.31,0.35,0.50
65,100,0.21,0.23,0.31,0.42,0.58,0.26,0.28,0.31,0.35,0.50
66,100,0.21,0.23,0.31,0.42,0.58,0.26,0.28,0.31,0.35,0.50
67,100,0.21,0.23,0.31,0.42,0.58,0.26,0.28,0.31,0.35,0.50
68,100,0.21,0.23,0.31,0.42,0.58,0.26,0.28,0.31,0.35,0.50
69,100,0.21,0.23,0.31,0.42,0.58,0.26,0.28,0.31,0.35,0.50
