15,400,80,0.15,0.03,0.10,0.02,0.10,0.02
16,400,80,0.15,0.03,0.10,0.02,0.10,0.02
17,400,80,0.15,0.03,0.10,0.02,0.10,0.02
18,400,80,0.15,0.03,0.10,0.02,0.10,0.02
19,800,160,0.35,0.07,0.25,0.05,0.20,0.04
20,1200,240,0.50,0.10,0.35,0.07,0.30,0.06
21,1375,275,0.55,0.11,0.40,0.08,0.35,0.07
22,1375,275,0.55,0.11,0.40,0.08,0.35,0.07
23,1375,275,0.65,0.13,0.45,0.09,0.35,0.07
24,1375,275,0.70,0.14,0.50,0.10,0.40,0.08
25,2125,425,1.45,0.29,1.00,0.20,0.85,0.17
26,2125,425,2.00,0.40,1.40,0.28,1.15,0.23
27,2125,425,2.55,0.51,1.80,0.36,1.50,0.30
28,2125,425,3.05,0.61,2.15,0.43,1.80,0.36
29,2125,425,3.45,0.69,2.40,0.48,2.00,0.40
30,2125,425,3.65,0.73,2.55,0.51,2.10,0.42
31,2125,425,3.85,0.77,2.70,0.54,2.25,0.45
32,2125,425,4.10,0.82,2.85,0.57,2.35,0.47
33,2125,425,4.45,0.89,3.10,0.62,2.55,0.51
34,2125,425,5.00,1.00,3.50,0.70,2.90,0.58
35,2125,425,5.65,1.13,3.95,0.79,3.30,0.66
36,2125,425,6.45,1.29,4.50,0.90,3.75,0.75
37,2125,425,7.20,1.44,5.05,1.01,4.20,0.84
38,2125,425,8.45,1.69,5.90,1.18,4.90,0.98
39,2125,425,9.10,1.82,6.35,1.27,5.25,1.05
40,2125,425,10.00,2.00,7.00,1.40,5.80,1.16
41,2125,425,10.30,2.06,7.20,1.44,6.00,1.20
42,2125,425,11.00,2.20,7.70,1.54,6.40,1.28
43,2125,425,11.60,2.32,8.10,1.62,6.70,1.34
44,2125,425,12.95,2.59,9.05,1.81,7.50,1.50
45,2250,450,13.10,2.62,9.15,1.83,7.60,1.52
46,2250,450,13.10,2.62,9.15,1.83,7.60,1.52
47,2250,450,13.10,2.62,9.15,1.83,7.60,1.52
48,2250,450,13.10,2.62,9.15,1.83,7.60,1.52
49,2250,450,13.10,2.62,9.15,1.83,7.60,1.52
50,2000,400,11.25,2.25,7.85,1.57,6.50,1.30
51,2000,400,11.25,2.25,7.85,1.57,6.50,1.30
52,2000,400,11.25,2.25,7.85,1.57,6.50,1.30
53,2000,400,11.25,2.25,7.85,1.57,6.50,1.30
54,2000,400,11.25,2.25,7.85,1.57,6.50,1.30
55,2000,400,11.25,2.25,7.85,1.57,6.50,1.30
56,2000,400,12.45,2.49,8.70,1.74,7.20,1.44
57,2000,400,12.45,2.49,8.70,1.74,7.20,1.44
58,2000,400,8.35,1.67,5.85,1.17,4.85,0.97
59,2000,400,9.85,1.97,6.90,1.38,5.75,1.15
60,1975,395,11.45,2.29,8.00,1.60,6.65,1.33
61,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
62,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
63,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
64,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
65,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
66,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
67,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
68,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
69,1975,395,12.15,2.43,8.50,1.70,7.05,1.41
